timestamp,turn,transcription,llm_response,transcription_latency,llm_latency,tts_latency,total_latency,highest_latency
2024-09-02T22:58:41.559635,1,لو سمحت كنت عايز أعرف إيه أسعار الرحلات عندكم؟,طبعاً، إحنا عندنا باقات متنوعة تناسب كل الأذواق والميزانيات. ممكن تقولي إنت مهتم تسافر فين أو أي نوع رحلة بتدور عليه؟ كده أقدر أقولك الأسعار بشكل أدق. 😊,1767.9095268249512,2873.6393451690674,17417.64807701111,22066.19358062744,Text-to-Speech
2024-09-02T22:59:00.466431,2,مش عارف اشتغل فيه,ولا يهمك، إحنا هنا عشان نساعدك تختار! طيب، خلينا نبدأ بحاجة بسيطة. إنت بتفضل الرحلات الشاطئية، التاريخية، ولا المغامرات والطبيعة؟,1207.23557472229,1137.1135711669922,14070.788145065308,16423.142194747925,Text-to-Speech
2024-09-02T22:59:27.578664,3,بحب المؤامرات والطبيعة,جميل جداً! المغامرات والطبيعة حاجة مميزة فعلاً. طيب، إيه رأيك في رحلة لواحد من الأماكن الرائعة زي دهب ولا سانت كاترين؟ الأماكن دي مليانة مناظر طبيعية خلابة وفرص لمغامرات كتير زي الغوص والتسلق. إيه رأيك؟,1292.6583290100098,1229.1433811187744,20929.90255355835,23458.70542526245,Text-to-Speech
2024-09-02T23:09:00.736031,1,لأ مش هينفع كده فاضش عايز اعرف ايه ال travel tours اللي موجودة لل pyramids لو سمحت,طبعاً، مفيش مشكلة! عندنا كذا باقة لزيارة الأهرامات. ممكن أقولك شوية تفاصيل عنها؟  1. **رحلة يوم واحد للأهرامات**: دي بتشمل زيارة الأهرامات وأبو الهول، مع مرشد سياحي، وغداء في مطعم محلي. 2. **جولة شاملة في القاهرة**: دي بتشمل زيارة الأهرامات، والمتحف المصري، وخان الخليلي، وكمان جولة نيلية. 3. **جولة خاصة بالأهرامات**: دي بتشمل زيارة الأهرامات وأبو الهول، مع زيارة داخل الهرم الأكبر، وجولة في منطقة سقارة.  لو حابب أي,2055.285692214966,1957.4031829833984,48956.70223236084,52976.38988494873,Text-to-Speech
2024-09-02T23:10:33.296821,1,إيه أخبارك عملايا؟,الحمد لله، كله تمام! إزايك إنت؟ إيه الأخبار؟ 🌟 عايز تحجز رحلة ولا عندك استفسار معين؟,1426.7425537109375,877.7024745941162,8134.675025939941,10445.119857788086,Text-to-Speech
2024-09-02T23:10:47.376634,2,عندي استفسار معين,تمام، قول لي إيه استفسارك وأنا تحت أمرك. عايز تعرف عن باقات الرحلات ولا حاجة تانية؟,1247.2667694091797,835.5438709259033,7769.246339797974,9858.053207397461,Text-to-Speech
2024-09-02T23:11:39.293932,3,عايز أعرف إزاي أتجنب الحرمية اللي عند ال pyramids,أيوة، الموضوع ده مهم جدًا. للأسف في بعض الناس بيحاولوا يستغلوا السياح هناك. عشان تتجنب الحرمية، اتبع النصايح دي:  1. **اتفق على السعر مسبقًا**: لو هتركب جمل أو تشتري حاجة، اتفق على السعر قبل ما تبدأ. 2. **ما تديش فلوس لأي حد بدون سبب**: في ناس هتطلب منك فلوس عشان حاجات بسيطة زي التقاط صورة. 3. **خليك مع مرشد سياحي موثوق**: ده هيحميك من أي محاولات استغلال. 4. **ما تبينش إنك معاك فلوس كتير**:,1644.4177627563477,2076.7178535461426,42243.85213851929,45973.98853302002,Text-to-Speech
2024-09-14T00:57:56.298301,3,هو يا عم هو مش مشي جدا استنى بس,ماشي، خد راحتك. لما تكون جاهز، قولي اسمك بالكامل ونشوف إزاي نقدر نساعدك.,1711.474895477295,1049.5710372924805,1.0106563568115234,2777.503728866577,Transcription
2024-10-11T19:51:17.147851,1,أيوة إزايك عاملة إيه؟ الووو إزايك عاملة إيه؟,أهلاً بيك! أنا تمام الحمد لله، إنت إزايك؟ جاهز نخطط لرحلتك الجاية؟ 😊,3071.5227127075195,1053.5142421722412,1243.337631225586,5375.408887863159,Transcription
2024-10-11T19:53:01.882617,1,ازايك؟ عاملة إيه؟,أنا تمام، شكراً ليك! إنت عامل إيه؟ جاهز تخطط لرحلة حلوة؟,1298.2184886932373,1068.3307647705078,1450.4501819610596,3820.997953414917,Text-to-Speech
2024-10-11T19:54:08.896211,1,العزيزي,أهلاً بيك! إزاي أقدر أساعدك النهاردة؟ عايز تحجز رحلة ولا عندك استفسار عن باقة معينة؟,1379.2126178741455,1081.40230178833,1378.0269622802734,3844.5920944213867,Transcription
2024-10-11T20:00:10.967083,1,و الله يا سيدي عادي بسأل يعني أيه الأخبار عندكوا؟ و الله عادي عايز أعرف أيه الأخبار عندكوا يعني,أهلاً بيك! إحنا تمام والحمد لله، دايماً جاهزين نساعدك في حجز رحلتك الجاية. عندنا باقات سفر متنوعة تناسب كل الأذواق، سواء كنت عايز رحلة استرخاء على البحر أو مغامرة في الصحراء. لو عندك أي وجهة معينة في بالك أو محتاج مساعدة في اختيار الباقة المناسبة، قولي وأنا هنا عشان أساعدك!,2731.126070022583,1590.3239250183105,26778.08141708374,31105.531215667725,Text-to-Speech
